Address,Location,Type,,Tags
10.226.3.0/26,dg-core-prd,IP Netmask,,PCI
10.226.3.64/26,dg-core-prd,IP Netmask,,PCI
10.226.2.0/24,dg-core-prd,IP Netmask,,
10.226.2.0/26,dg-core-prd,IP Netmask,,
10.226.2.10,dg-core-prd,IP Netmask,,
10.226.2.11/32,dg-core-prd,IP Netmask,,
10.226.2.12/32,dg-core-prd,IP Netmask,,
10.226.2.4,dg-core-prd,IP Netmask,,
10.226.2.5,dg-core-prd,IP Netmask,,
10.226.2.66/32,dg-core-prd,IP Netmask,,
10.226.2.67/32,dg-core-prd,IP Netmask,,
10.226.2.129/26,dg-core-prd,IP Netmask,,PCI
10.226.2.190/32,dg-core-prd,IP Netmask,,PCI
10.226.2.193/26,dg-core-prd,IP Netmask,,PCI
10.226.2.252/32,dg-core-prd,IP Netmask,,PCI
10.226.3.128/26,dg-core-prd,IP Netmask,,PCI
10.226.3.192/26,dg-core-prd,IP Netmask,,PCI
10.226.0.128/25,dg-core-prd,IP Netmask,,PCI
10.226.1.128/26,dg-core-prd,IP Netmask,,
52.71.138.106,dg-core-prd,IP Netmask,,
192.168.61.0/24,dg-core-prd,IP Netmask,,
10.30.62.0/24,dg-core-prd,IP Netmask,,
10.30.62.4,dg-core-prd,IP Netmask,,
10.224.0.0/16,dg-core-prd,IP Netmask,,
10.224.28.0/24,dg-core-prd,IP Netmask,,
az-pgfl-shared-server-use-prd.postgres.database.azure.com,dg-core-prd,FQDN,,
10.224.30.0/24,dg-core-prd,IP Netmask,,PCI
10.224.30.4,dg-core-prd,IP Netmask,,PCI
10.224.94.128/25,dg-core-prd,IP Netmask,,
10.224.95.128/25,dg-core-prd,IP Netmask,,
10.224.76.0/23,dg-core-prd,IP Netmask,,
10.224.88.0/23,dg-core-prd,IP Netmask,,
10.224.90.0/23,dg-core-prd,IP Netmask,,
10.224.86.0/24,dg-core-prd,IP Netmask,,
10.224.68.0/24,dg-core-prd,IP Netmask,,PCI
10.224.83.0/24,dg-core-prd,IP Netmask,,PCI
10.224.32.8,dg-core-prd,IP Netmask,,
10.224.32.9,dg-core-prd,IP Netmask,,
10.230.7.38,dg-core-prd,IP Netmask,,
10.230.7.39,dg-core-prd,IP Netmask,,
10.230.7.48/28,dg-core-prd,IP Netmask,,
10.224.24.64/26,dg-core-prd,IP Netmask,,
10.224.24.128/26,dg-core-prd,IP Netmask,,PCI
10.224.2.0/24,dg-core-prd,IP Netmask,,PCI
10.224.2.10,dg-core-prd,IP Netmask,,PCI
10.224.2.11,dg-core-prd,IP Netmask,,PCI
10.224.2.14,dg-core-prd,IP Netmask,,PCI
10.224.2.14-10.224.2.15,dg-core-prd,IP Range,,PCI
10.224.2.15,dg-core-prd,IP Netmask,,PCI
10.224.2.18,dg-core-prd,IP Netmask,,PCI
10.224.2.18-10.224.2.20,dg-core-prd,IP Range,,PCI
10.224.2.19,dg-core-prd,IP Netmask,,PCI
10.224.2.20,dg-core-prd,IP Netmask,,PCI
